Location,Price (RM),Rooms,Store,Bathrooms,Property Type,Size (sqft),Furnishing,Price/Sqft
85,2750000,3,1,4.0,16,2426.0,1,1133.553173948887
67,5500000,5,1,6.0,9,5446.0,0,1009.9155343371282
69,428000,3,1,2.0,16,918.0,2,466.2309368191721
19,14800000,7,1,9.0,9,12000.0,1,1233.3333333333333
45,28000000,14,0,16.0,9,26000.0,1,1076.923076923077
85,1800000,3,1,3.0,2,22.0,1,81818.18181818182
66,770000,3,0,3.0,12,1186.0,1,649.2411467116358
27,3600000,7,0,7.0,9,5000.0,2,720.0
45,870000,2,1,3.0,16,1055.0,0,824.6445497630332
45,1200000,2,0,2.0,12,976.0,1,1229.5081967213114
9,7600000,5,1,6.0,9,7750.0,0,980.6451612903226
65,720000,3,1,3.0,12,1577.0,0,456.5630944831959
16,1150000,5,1,3.0,12,1772.0,1,648.9841986455982
16,928000,4,0,3.0,12,1513.0,1,613.3509583608725
47,1680000,6,0,4.0,2,48.0,0,35000.0
45,1350000,1,1,2.0,16,900.0,0,1500.0
37,360000,3,0,2.0,12,1088.0,1,330.88235294117646
45,830000,Studio,0,1.0,16,473.0,0,1754.7568710359408
23,868000,5,0,4.0,2,23.0,1,37739.13043478261
53,1865000,3,1,5.0,12,2535.0,1,735.7001972386588
45,1308000,1,1,1.0,12,753.0,0,1737.0517928286852
45,1760000,2,1,2.0,12,1159.0,0,1518.5504745470232
75,568000,2,0,2.0,12,904.0,1,628.3185840707964
45,1020000,3,0,2.0,16,813.0,0,1254.6125461254612
45,2400000,2,0,2.0,16,1103.0,0,2175.883952855848
45,1099000,2,1,2.0,16,833.0,0,1319.327731092437
29,1850000,3,1,3.0,2,22.0,1,84090.90909090909
45,1550000,2,0,2.0,16,910.0,0,1703.2967032967033
53,1420000,4,0,4.0,12,1496.0,0,949.1978609625669
85,1280000,3,1,3.0,2,24.0,1,53333.333333333336
53,2150000,3,1,4.0,12,2707.0,1,794.2371629109715
85,1060000,3,0,2.0,0,24.0,2,44166.666666666664
53,2550000,4,1,5.0,12,2973.0,1,857.7194752774975
16,980000,4,1,3.0,12,1513.0,0,647.7197620621282
27,2650000,3,1,5.0,16,2077.0,1,1275.8786711603275
45,3364000,2,1,2.0,16,1399.0,0,2404.5746962115795
45,1420000,2,1,2.0,12,976.0,1,1454.9180327868853
45,2889000,1,0,2.0,16,1163.0,0,2484.092863284609
45,1450000,1,0,1.0,16,1050.0,0,1380.952380952381
4,6220000,4,1,6.0,12,4327.0,0,1437.485555812341
24,1080000,2,0,2.0,12,1411.0,1,765.4145995747697
24,916000,1,0,1.0,12,1119.0,0,818.5880250223414
53,2500000,5,1,4.0,15,3833.0,1,652.2306287503261
75,2200000,4,1,5.0,15,3282.0,1,670.3229737964656
3,3600000,4,1,4.0,9,9670.0,2,372.2854188210962
85,5000000,7,1,5.0,9,6000.0,0,833.3333333333334
85,2780000,4,0,3.0,15,45.0,1,61777.77777777778
10,530000,1,0,1.0,16,638.0,0,830.7210031347962
23,600000,4,0,3.0,2,22.0,2,27272.727272727272
75,1000000,5,0,4.0,4,20.0,1,50000.0
44,2434900,3,1,4.0,16,1873.0,2,1300.0
27,1600000,1,1,2.0,16,1152.0,1,1388.888888888889
82,2000000,6,0,6.0,15,3200.0,1,625.0
23,535000,1,0,1.0,16,762.0,1,702.0997375328084
75,1300000,4,1,6.0,4,24.0,1,54166.666666666664
75,1030000,4,1,4.0,3,20.0,1,51500.0
45,1200000,3,0,3.0,16,1335.0,0,898.876404494382
44,2550000,3,1,5.0,16,1830.0,1,1393.4426229508197
3,2590000,5,1,6.0,9,58.0,1,44655.1724137931
3,1480000,3,1,4.0,12,1876.0,0,788.9125799573561
75,1348000,5,0,6.0,4,3216.0,2,419.1542288557214
53,618000,1,0,1.0,16,462.0,0,1337.6623376623377
53,1590000,3,1,3.0,12,2201.0,1,722.3989095865516
45,900000,2,1,2.0,16,811.0,0,1109.7410604192355
53,1700000,3,1,4.0,12,1496.0,0,1136.3636363636363
69,360000,1,0,1.0,16,618.0,1,582.5242718446602
53,1950000,4,1,4.0,12,1830.0,1,1065.5737704918033
45,2300000,1,0,1.0,16,1023.0,1,2248.289345063539
45,1250000,2,1,3.0,16,1335.0,0,936.3295880149813
45,3166000,2,0,2.0,16,1423.0,0,2224.8770203794797
37,370000,3,0,2.0,16,950.0,1,389.4736842105263
77,1600000,5,1,5.0,3,22.0,1,72727.27272727272
45,1000000,1,0,1.0,12,751.0,0,1331.5579227696405
9,6600000,3,1,5.0,12,4025.0,3,1639.751552795031
9,7400000,4,1,5.0,12,5137.0,1,1440.529491921355
9,6600000,4,1,6.0,12,4945.0,1,1334.681496461072
27,12800000,6,1,9.0,9,8000.0,0,1600.0
27,4500000,5,1,7.0,9,2970.0,1,1515.1515151515152
9,6800000,5,2,6.0,9,7416.0,1,916.9363538295577
43,1288972,2,0,2.0,12,1076.0,0,1197.9293680297399
44,3700000,3,0,3.0,16,1738.0,1,2128.883774453395
