Location,Price (RM),Rooms,Store,Bathrooms,Property Type,Size (sqft),Furnishing,Price/Sqft
75,1600000,4,1,6.0,4,10.0,1,160000.0
45,800000,2,1,3.0,16,1055.0,0,758.2938388625593
66,320000,4,0,2.0,16,646.0,2,495.35603715170276
75,1340000,4,1,6.0,4,3216.0,2,416.6666666666667
14,6000000,4,1,5.0,16,4157.0,1,1443.348568679336
85,1090000,3,0,2.0,0,24.0,1,45416.666666666664
45,1250000,3,1,4.0,16,1378.0,0,907.11175616836
85,1330000,3,1,3.0,2,24.0,1,55416.666666666664
53,1850000,4,1,4.0,12,1830.0,1,1010.9289617486339
45,2400000,2,0,2.0,16,1006.0,1,2385.685884691849
94,1613300,3,1,5.0,12,2336.0,1,690.625
45,2440000,1,0,2.0,16,1023.0,0,2385.1417399804495
27,5000000,3,1,3.0,9,7700.0,1,649.3506493506494
73,7300000,6,0,6.0,9,7300.0,1,1000.0
44,783990,1,0,1.0,16,650.0,1,1206.1384615384616
39,495000,1,0,1.0,16,560.0,0,883.9285714285714
22,569200,1,1,2.0,16,888.0,2,640.990990990991
23,439600,3,0,2.0,12,850.0,1,517.1764705882352
85,1150000,3,0,2.0,12,1560.0,1,737.1794871794872
16,425000,4,0,2.0,12,1087.0,1,390.984360625575
9,10000000,5,1,7.0,12,6913.0,1,1446.5499783017503
53,1800000,3,1,4.0,12,2243.0,1,802.4966562639322
23,439600,3,0,2.0,12,850.0,1,517.1764705882352
9,6670000,4,1,6.0,12,4771.0,1,1398.029763152379
38,580000,3,0,2.0,12,1590.0,1,364.7798742138365
53,618000,1,0,1.0,16,650.0,0,950.7692307692307
53,1518000,3,1,3.0,12,2648.0,1,573.2628398791541
53,2220000,4,1,4.0,12,2973.0,1,746.7204843592331
45,3600000,4,0,4.0,16,3897.0,0,923.7875288683603
85,1150000,3,0,2.0,0,22.0,1,52272.72727272727
29,2800000,4,1,4.0,2,2850.0,1,982.4561403508771
85,3100000,4,1,4.0,15,3600.0,1,861.1111111111111
85,1380000,4,0,3.0,2,23.0,1,60000.0
85,1450000,3,0,2.0,0,24.0,0,60416.666666666664
9,4900000,7,0,4.0,9,11676.0,1,419.6642685851319
85,1680000,4,0,3.0,2,24.0,1,70000.0
27,1550000,4,0,3.0,2,24.0,2,64583.333333333336
53,1950000,3,1,4.0,12,2535.0,0,769.2307692307693
29,3200000,4,1,4.0,4,4300.0,1,744.1860465116279
45,3600000,3,1,4.0,16,3897.0,1,923.7875288683603
75,600000,2,1,2.0,16,1025.0,1,585.3658536585366
24,4130000,4,1,5.0,12,3713.0,1,1112.3081066523027
45,1780000,3,0,3.0,12,1232.0,0,1444.8051948051948
9,6380000,3,1,5.0,12,4025.0,1,1585.0931677018634
9,6900000,4,1,6.0,12,4945.0,1,1395.3488372093022
37,660000,3,0,2.0,12,992.0,1,665.3225806451613
45,3125000,1,1,2.0,16,1421.0,1,2199.155524278677
45,2480000,1,0,1.0,16,1023.0,1,2424.242424242424
27,4000000,4,1,5.0,15,3700.0,1,1081.081081081081
45,1050000,3,1,4.0,16,1313.0,1,799.6953541507997
45,1833000,1,0,1.0,16,925.0,0,1981.6216216216217
6,888000,4,1,3.0,2,22.0,2,40363.63636363636
45,2999000,3,1,3.0,16,2066.0,0,1451.597289448209
16,638000,1,1,1.0,16,721.0,1,884.882108183079
9,6842500,3,1,5.0,12,4025.0,1,1700.0
9,8476050,4,1,5.0,12,5137.0,1,1650.0
27,14000000,6,1,6.0,9,9124.0,1,1534.4147303814116
53,1415000,3,1,4.0,12,1496.0,1,945.855614973262
27,12800000,6,,5.0,9,14380.0,1,890.125173852573
19,6900000,4,2,5.0,9,12000.0,1,575.0
45,1380000,3,1,4.0,16,1701.0,0,811.2874779541446
45,2800000,2,0,2.0,16,1103.0,0,2538.5312783318223
9,8280000,4,1,6.0,12,5137.0,1,1611.835701771462
79,3690000,4,1,5.0,15,3658.0,2,1008.7479496992893
74,950000,4,1,3.0,2,1650.0,1,575.7575757575758
16,4000000,6,1,7.0,9,5337.0,1,749.4847292486415
9,9960000,6,0,7.0,12,6913.0,1,1440.7637783885434
9,6660000,4,0,5.0,12,4771.0,1,1395.9337665059736
9,6300000,3,1,5.0,12,4025.0,1,1565.2173913043478
79,628000,3,0,2.0,12,1150.0,1,546.0869565217391
53,1590000,3,1,4.0,12,1878.0,1,846.6453674121406
69,428000,3,1,2.0,16,918.0,1,466.2309368191721
75,2250000,6,0,5.0,4,40.0,1,56250.0
85,4800000,5,1,4.0,9,8300.0,1,578.3132530120482
85,1890000,3,2,2.0,2,20.0,1,94500.0
29,815000,2,0,2.0,12,1085.0,0,751.1520737327189
9,7500000,3,1,5.0,12,4025.0,1,1863.3540372670807
45,1450000,2,0,2.0,12,867.0,0,1672.4336793540945
29,2950000,3,1,5.0,2,3082.0,2,957.1706683971447
53,2600000,4,1,5.0,12,3478.0,1,747.5560667050029
