Location,Price (RM),Rooms,Bathrooms,Car Parks,Property Type,Size (sqft),Furnishing
47,1880000,3,3.0,2.0,12,2243.0,1
47,1685000,3,3.0,2.0,12,2038.0,1
11,550000,3,2.0,2.0,12,1073.0,1
41,490000,5,3.0,2.0,1,20.0,1
41,1250000,5,5.0,4.0,4,22.0,1
40,2500000,1,2.0,1.0,16,1023.0,1
9,2044800,2,2.0,1.0,16,912.0,0
11,1250000,3,4.0,2.0,12,1700.0,0
40,4950000,4,4.0,2.0,16,3300.0,0
47,2340000,4,5.0,3.0,12,0.0,1
47,1698000,3,4.0,2.0,12,0.0,1
47,1420000,3,4.0,2.0,12,1496.0,1
32,928000,2,2.0,2.0,12,1523.0,2
11,565000,3,2.0,2.0,12,1100.0,1
32,1550000,3,4.0,4.0,12,2638.0,1
73,1800000,4,3.0,3.0,2,25.0,1
22,3200000,4,5.0,4.0,15,3670.0,1
32,670000,3,2.0,2.0,16,907.0,0
40,1000000,1,1.0,1.0,12,657.0,1
19,5999000,3,4.0,3.0,12,3289.0,0
47,2230000,4,5.0,3.0,12,2973.0,1
19,830000,2,2.0,1.0,12,1072.0,0
19,1100000,3,4.0,2.0,12,2111.0,1
22,8300000,5,6.0,4.0,9,6103.0,1
63,3450000,4,5.0,3.0,9,5200.0,1
47,2300000,4,4.0,2.0,12,2702.0,3
40,4756000,2,2.0,2.0,12,1399.0,1
47,1780000,3,3.0,2.0,16,1523.0,1
59,375000,2,2.0,1.0,16,743.0,2
6,380000,1,1.0,1.0,8,452.0,1
40,970000,1,1.0,1.0,16,603.0,0
11,900000,4,3.0,2.0,12,1513.0,1
40,4250000,4,6.0,2.0,16,3300.0,0
24,2300000,4,5.0,3.0,12,2454.0,1
61,520000,4,2.0,2.0,12,1450.0,1
37,1420000,3,3.0,2.0,16,1582.0,0
39,1065140,3,3.0,2.0,16,1025.0,1
40,1299000,2,2.0,1.0,16,900.0,0
5,7600000,4,5.0,3.0,12,4771.0,2
47,2390000,4,4.0,3.0,12,3043.0,2
11,850000,3,2.0,2.0,12,1335.0,0
47,14500000,5,8.0,5.0,9,8600.0,0
39,4718680,4,5.0,4.0,16,3143.0,1
5,14800000,12,8.0,6.0,9,6507.0,1
47,9900000,6,8.0,2.0,9,8700.0,1
5,5000000,6,6.0,4.0,15,4800.0,1
47,1850000,3,3.0,2.0,12,2020.0,0
40,3360000,2,2.0,2.0,16,1572.0,1
40,1000000,2,2.0,1.0,16,811.0,0
68,3700000,4,5.0,6.0,15,3040.0,1
68,4200000,4,5.0,4.0,9,1615.0,2
5,18000000,6,7.0,6.0,9,15000.0,1
68,2688888,5,5.0,9.0,12,4069.0,1
5,8200000,4,6.0,5.0,12,4945.0,1
